대여소명,대여소번호,이용거리(M),이용건수,이용시간(분)
(시립)고덕평생학습관,1070,7648747.15,4002,83684
(재)FITI시험연구원,2724,9190032.67,5464,75157
19민주묘지역,1539,10236484.92,3914,94100
19민주묘지역 1번출구,1564,11987737.38,4597,105348
19탑 앞,1551,7421131.66,3140,62642
3호선 매봉역 3번출구앞,2335,12475283.11,5740,109669
"500번,507번 버스 종점 앞",1858,12884570.42,1658,79061
63스퀘어,4564,11872332.77,3400,106328
7번가피자 서교망원점,184,10114597.63,3974,96009
7호선 이수역7번출구,2082,8873733.09,5380,88218
9호선종합운동장역 9번출구,1206,11279729.57,4510,117255
CBS방송국 앞,769,11559681.88,5575,117256
CJ 드림시티,907,16106310.41,4711,124168
CJ오쇼핑앞,2284,2554346.17,1096,18283
CJ제일제당 앞,380,9489370.37,4457,92080
DDP 패션몰,475,9543654.6,4302,94528
DMC래미안e편한세상203동옆,3129,10201930.32,4364,76397
DMC빌 앞,405,8872313.95,3910,83673
DMC산학협력연구센터 앞,412,12163568.43,5131,104807
DMC엘가아파트 앞,3120,14383379.05,5987,120851
DMC역 2번출구 옆,417,13415194.18,5372,111833
DMC역 5번 출구(수색역 방향),4685,12511218.9,4174,105305
DMC역 9번출구 앞,415,11671885.99,5383,98357
DMC역7번출구,3008,9065831.96,4803,70794
DMC첨단산업센터,425,6365663.97,3019,57224
DMC파크뷰자이1단지 110동 앞,3123,12133061.17,4437,108626
DMC파크뷰자이아파트 302동 앞,170,13857310.67,4252,109832
DMC홍보관,411,9859914.44,4039,84602
ESA아파트 상가 앞,1749,13963273.43,6216,118755
FITI시험연구원 앞,676,10146800.53,3476,81895
HID 유족동지회 앞,854,3235809.02,981,28089
HW컨벤션센터 앞,3429,5019383.9,1218,32937
H비즈니스파크,4884,11484304.34,4132,95756
H타워 앞,5867,9287490.11,4005,82599
IBK기업은행 석수역 지점 앞,1861,5529536.86,1111,38830
JK장평타워,2165,4850941.77,1864,39575
JTBC 앞,4214,9588727.45,4638,80054
JW타워,2510,4117508.54,1673,31532
K+ 타워 앞,2365,13647231.89,3425,110098
KAIST 경영대학 앞,637,10909569.34,4400,86716
KBS 스포츠월드,1182,11811751.24,7037,103676
KBS 앞,206,11211363.22,3411,106405
KBS 연구동 건너편,298,11214379.0,3693,90190
KB국민은행 염창역 지점 앞,700,14425480.83,4642,114180
KC 대학교,1183,5557377.12,2626,43805
KCC용산월츠타워,850,6448406.88,3357,70328
KEB 하나금융그룹 명동사옥 옆,321,9613306.16,3695,97482
KEB은행 고대점,1372,8581985.65,3644,77084
KG타워 앞,4797,8035040.74,3924,73399
KRX한국거래소(1),4589,10589420.26,4107,104069
KT 서초지사 앞,2235,4505869.68,1777,38098
KT 전화국 버스정류장 옆,1637,12191192.72,5706,116155
KT&G 관악지점,2137,5781497.19,3578,58602
KT&G강동지사,3683,9968133.44,5094,99712
KT&G타워 옆(상상마당 대치아트홀),4901,6858425.39,2364,57312
KT관악지점,3812,8337895.3,4618,81076
KT선릉타워,2369,11498818.58,3974,104874
KT앞,213,10442892.26,4429,100489
KT플라자 영등포점,296,8944757.6,4720,95284
KT혜화지사 앞,356,7353154.7299999995,4116,77573
LG CNS앞,408,9773287.18,5071,85677
LG 사이언스파크,1198,8649414.72,7247,76570
LG사이언스파크 E10동,5089,8347869.7,7097,73729
LG사이언스파크 E14동,5096,7120206.06,5177,63918
LG사이언스파크 E2동,5097,4435412.24,2655,38411
LG사이언스파크 E7동,5099,4139220.85,2500,35588
LG사이언스파크 W4동,5098,3386239.27,2920,31365
LG유플러스 (방배사옥),2506,1917500.35,748,14243
LG유플러스 마곡사옥,2717,10897642.61,6026,94382
LG전자 별관동(호서대 벤처타워 맞은편),1809,7012408.67,3190,46210
LG전자가산A와 가산테라타워 사이,3987,8394214.41,5443,72248
LG트윈타워 앞,5870,12387206.86,2786,97618
LG한강 자이아파트 앞,860,15255413.53,3850,122527
LH 서초 4단지 403동,2549,11834985.25,3485,90785
LH강남힐스테이트아파트,3642,13030863.95,4899,96198
LH서초3단지 301동 맞은편,2285,8600827.11,2093,60947
LIGA 아파트 앞,1011,11176078.24,5461,104070
LIG강촌아파트 103동앞,815,15992159.78,5191,128783
MBC 앞,3007,10732443.74,4641,88134
MCM 본사 직영점 앞,2305,6994784.36,1838,53775
NH농협은행 앞,217,11129404.77,3883,103238
SBS방송국,723,10349116.56,5217,100619
SB타워 앞,4908,8721846.55,2228,67994
SC제일은행 양재동지점 앞,4329,7340275.3,3382,70344
SK 남산빌딩,435,5292580.73,2121,51358
SK 서린빌딩 앞,368,12443107.53,4186,105800
SK리쳄블(서울아리수본부),3134,5913744.51,2655,52322
SPC 앞,2293,11675604.379999999,4882,100319
SSTS 몰 앞,1073,7908313.35,4447,76247
STX V타워,1835,8880641.07,3524,61833
U레지던스 앞,5857,9213233.63,4167,82461
e 편한세상 보문아파트 내,1352,2538608.69,1235,20629
e편한세상 상도노빌리티 앞,2084,11322193.29,4636,100446
e편한세상 신촌4단지 앞,3104,8410435.35,4611,73583
kt 행당빌딩 앞,4367,15153048.23,5446,129834
sk신내 주유소앞(용마산로),1467,4143140.26,1339,28165
가든파이브 리빙관,4885,5117516.21,1722,41414
가락1동주민센터,4468,13893508.9,5858,111107
가락2동주민센터 인근,4458,8226177.2,3804,70394
가락고등학교 앞,2614,5527200.5,3006,50751
가락대림아파트 앞,4867,11158755.15,5655,93348
가락몰 업무동,2658,11108864.3,5712,96459
가락미륭아파트 앞,1258,5949968.28,2868,50936
가락본동주민센터 인근,5774,10576823.6,4638,100995
가락삼환아파트 앞,2617,6443059.28,2978,58470
가락시장 남1문 사거리,4480,8065083.88,4148,72005
가락시장역 2번 출구,4854,11476392.6,6171,107523
가락시장역 3번 출구,1201,11923189.98,5445,105197
가락시장역 5번출구,5775,6765882.74,3277,60131
가락시장역 사거리,1257,11456783.96,6506,102793
가락쌍용2차아파트 103동,4860,10422890.05,4688,82114
가락종합 사회복지관,2625,11063835.55,3804,83019
가락중학교 앞,4462,8169801.43,4309,79546
가락현대 1차 11동 앞,4474,5157817.05,2821,47802
가로공원공영주차장 1번 출구,2711,13019588.84,6345,119685
가리봉동주민센터,1962,7549750.36,4543,70466
가마산지하보도 옆,2826,7616208.17,3886,65071
가산동 주민센터,1841,7541841.95,4611,71252
가산디지털단지 9번출구 인근,1851,13345814.6,5162,106112
가산롯데아이티캐슬,3984,13075325.96,3467,89768
가산아네스트 오피스텔 앞,1854,8213203.7299999995,4580,63061
가양3동 주민센터,1172,13016196.8,5798,112096
가양5단지아파트,6172,38804.89,22,714
가양나들목,3787,18692293.03,3269,126806
가양레포츠센터 앞,1121,15511955.17,4967,122010
가양역 1번출구,5080,11827620.54,6558,113280
가양역 7번출구,5082,11166746.41,5903,106142
가양역 8번출구,1158,12509615.64,6536,113750
가양오토갤러리,3775,8867603.23,5383,80251
가양테크노타운,5086,12595036.48,4229,97803
가오리역,1540,11013306.97,6195,115131
가온문화공원,490,9792362.13,5188,90072
가재울 초등학교,166,15120711.87,5763,123193
가재울사거리,3130,11323194.44,4499,98458
가좌삼거리,3121,12789793.32,6286,111432
가좌역 4번출구 앞,179,13661132.98,6970,117276
가좌역1 번출구 앞,155,13007184.14,5533,103465
가좌행복주택 앞,4210,12889580.08,5264,104263
갈산문화예술센터,4541,14534251.19,6504,114757
갈현1동 주민센터,4676,6532076.62,3134,52087
갑을그레이트밸리 앞,1812,7089994.63,4092,65590
강남 을지병원 교차로,2363,7533800.5,2512,65975
강남경찰서,4905,13260450.78,2999,100054
강남구 도시관리공단,2388,7634025.53,3135,60660
강남구청,2356,11113864.82,3474,89888
강남구청역 2번출구 뒤,2353,9167521.31,3631,82664
강남세브란스교차로  래미안그레이튼 104동 앞,2336,6241416.46,3044,55149
강남중학교 앞,2085,12459653.17,6294,112930
강남파이낸스센터앞(역삼역2번출구),2430,8551867.26,3895,81019
